"","lens1","lens2","val","geography","unit","description","indicator"
"1",NA,NA,"55114306.4832543","Andhra Pradesh","number of people","Total population of  Andhra Pradesh","total_pop_of_Andhra Pradesh"
"2","Intermediate Caste",NA,"14603553.531278","Andhra Pradesh","number of people","Total population of  Andhra Pradesh in caste category","total_pop_of_Andhra Pradesh_CasteCategory"
"3","Not Applicable",NA,"1162.46405947056","Andhra Pradesh","number of people","Total population of  Andhra Pradesh in caste category","total_pop_of_Andhra Pradesh_CasteCategory"
"4","Not Stated",NA,"8627.90763861655","Andhra Pradesh","number of people","Total population of  Andhra Pradesh in caste category","total_pop_of_Andhra Pradesh_CasteCategory"
"5","OBC",NA,"19399116.8380314","Andhra Pradesh","number of people","Total population of  Andhra Pradesh in caste category","total_pop_of_Andhra Pradesh_CasteCategory"
"6","SC",NA,"12046935.9608435","Andhra Pradesh","number of people","Total population of  Andhra Pradesh in caste category","total_pop_of_Andhra Pradesh_CasteCategory"
"7","ST",NA,"1920875.84822201","Andhra Pradesh","number of people","Total population of  Andhra Pradesh in caste category","total_pop_of_Andhra Pradesh_CasteCategory"
"8","Upper Caste",NA,"7134033.93318129","Andhra Pradesh","number of people","Total population of  Andhra Pradesh in caste category","total_pop_of_Andhra Pradesh_CasteCategory"
"9","Intermediate Caste",NA,"798981.695426868","Andhra Pradesh","number of people","Total population of  Andhra Pradesh in target group and caste category","total_pop_of_Andhra Pradesh_tg_CasteCategory"
"10","Not Stated",NA,"898.401958789569","Andhra Pradesh","number of people","Total population of  Andhra Pradesh in target group and caste category","total_pop_of_Andhra Pradesh_tg_CasteCategory"
"11","OBC",NA,"2397891.96728558","Andhra Pradesh","number of people","Total population of  Andhra Pradesh in target group and caste category","total_pop_of_Andhra Pradesh_tg_CasteCategory"
"12","SC",NA,"1763110.96651005","Andhra Pradesh","number of people","Total population of  Andhra Pradesh in target group and caste category","total_pop_of_Andhra Pradesh_tg_CasteCategory"
"13","ST",NA,"264268.058640216","Andhra Pradesh","number of people","Total population of  Andhra Pradesh in target group and caste category","total_pop_of_Andhra Pradesh_tg_CasteCategory"
"14","Upper Caste",NA,"932612.697691668","Andhra Pradesh","number of people","Total population of  Andhra Pradesh in target group and caste category","total_pop_of_Andhra Pradesh_tg_CasteCategory"
